Subject,Course,Section,MeetingType,DaysMet,StartDate,EndDate,StartTime,EndTime,BuildingName,Room#,Term,Cross-List,Status,Instructor,Enrollment,MaxEnrollment
AAST,3301,1,LEC/Fall Final Exam,R,12/8/2022,12/8/2022,5:30 PM,8:00 PM,SWCA,114,2228,-,Scheduled,Hill,3,5
AAST,2300,1,LEC/Fall Final Exam,T,12/13/2022,12/13/2022,8:00 AM,10:30 AM,PKH,103,2228,-,Scheduled,Guillory,40,60
AAST,4326,1,LEC/Fall Final Exam,W,12/14/2022,12/14/2022,2:00 PM,4:30 PM,UH,321,2228,-,Scheduled,Cocchiara,1,5
AAST,3320,1,LEC/Fall Final Exam,R,12/8/2022,12/8/2022,11:00 AM,1:30 PM,PKH,109,2228,2228_1_0082_UTARL_1 - Exam,Scheduled,Kirby,19,60
AAST,4341,1,LEC/Fall Final Exam,M,12/12/2022,12/12/2022,8:00 AM,10:30 AM,UH,09,2228,2228_1_0329_UTARL_1 - Exam,Scheduled,Beamon,5,5
AAST,3319,1,LEC/Fall Final Exam,W,12/14/2022,12/14/2022,2:00 PM,4:30 PM,SWCA,115,2228,-,Scheduled,Mitschke,5,5
ACCT,5318,1,SEM/Fall Final Exam,T,12/13/2022,12/13/2022,8:15 PM,10:45 PM,COBA,151,2228,-,Scheduled,Rosser,36,46
ACCT,5329,1,LEC/Fall Final Exam,W,12/14/2022,12/14/2022,8:15 PM,10:45 PM,COBA,349,2228,-,Scheduled,Henderson,27,50
ACCT,4318,1,LEC/Fall Final Exam,T,12/13/2022,12/13/2022,8:00 AM,10:30 AM,COBA,256,2228,-,Scheduled,Mcconnell,29,50
ACCT,4318,2,LEC/Fall Final Exam,M,12/12/2022,12/12/2022,5:30 PM,8:00 PM,COBA,149,2228,-,Scheduled,Sargent,29,50
ACCT,2302,4,LEC/Fall Final Exam,F,12/9/2022,12/9/2022,5:30 PM,8:00 PM,SEIR,298,2228,-,Scheduled,Prachyl,39,40
ACCT,2302,1,LEC/Fall Final Exam,F,12/9/2022,12/9/2022,5:30 PM,8:00 PM,SEIR,194,2228,-,Scheduled,Ji,60,60
