Subject,Course,Section,MeetingType,DaysMet,StartDate,EndDate,StartTime,EndTime,Building,Room,Instructor,Term,Cross-List,Status,Campus,Enrollment,MaxEnrollment
AAST,2300,1,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,8:00 AM,10:30 AM,SWSH,105,Guillory,2238,2238_1_0332_UTARL_1 - Exam,Scheduled,MAIN,42,60
AAST,2371,2,LEC/Fall 2023 Final Exam Term 2238,M,12/11/2023,12/11/2023,2:00 PM,4:30 PM,LS,424,Warren,2238,2238_1_0334_UTARL_1 - Exam,Scheduled,MAIN,1,3
AAST,3301,2,LEC/Fall 2023 Final Exam Term 2238,R,12/7/2023,12/7/2023,5:30 PM,8:00 PM,SWSH,224,Hill,2238,2238_1_0605_UTARL_1 - Exam,Scheduled,MAIN,1,5
AAST,3314,1,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,8:00 AM,10:30 AM,UH,13,Steplyk,2238,2238_1_0337_UTARL_1 - Exam,Scheduled,MAIN,1,5
AAST,3317,1,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,8:15 PM,10:45 PM,SWSH,104,Hill,2238,2238_1_0314_UTARL_1 - Exam,Scheduled,MAIN,3,5
AAST,3319,2,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,2:00 PM,4:30 PM,SWSH,430,Rubalcava Hernandez,2238,2238_1_0315_UTARL_1 - Exam,Scheduled,MAIN,4,5
AAST,3320,1,LEC/Fall 2023 Final Exam Term 2238,R,12/7/2023,12/7/2023,2:00 PM,4:30 PM,UH,9,Hill,2238,2238_1_0325_UTARL_1 - Exam,Scheduled,MAIN,26,60
AAST,3385,1,LEC/Fall 2023 Final Exam Term 2238,M,12/11/2023,12/11/2023,5:30 PM,8:00 PM,UH,8,Degges,2238,2238_1_0340_UTARL_1 - Exam,Scheduled,MAIN,2,5
AAST,4326,1,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,11:00 AM,1:30 PM,COBA,152,Cocchiara,2238,2238_1_0615_UTARL_1 - Exam,Scheduled,MAIN,1,5
AAST,4341,1,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,8:00 AM,10:30 AM,UH,1,Beamon,2238,2238_1_0190_UTARL_1 - Exam,Scheduled,MAIN,4,5
AAST,4350,1,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,2:00 PM,4:30 PM,UH,8,Price,2238,2238_1_0590_UTARL_1 - Exam,Scheduled,MAIN,2,3
ACCT,3133,1,LEC/Fall 2023 Final Exam Term 2238,R,12/7/2023,12/7/2023,8:15 PM,10:45 PM,COBA,149,Mcconnell,2238,2238_1_0454_UTARL_1 - Exam,Scheduled,MAIN,12,30
ACCT,3303,1,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,8:00 AM,10:30 AM,COBA,138,Chatterjee,2238,-,Scheduled,MAIN,37,37
ACCT,3303,3,LEC/Fall 2023 Final Exam Term 2238,M,12/11/2023,12/11/2023,8:15 PM,10:45 PM,COBA,252,Sargent,2238,2238_1_0603_UTARL_1 - Exam,Scheduled,MAIN,49,50
ACCT,3303,4,LEC/Fall 2023 Final Exam Term 2238,R,12/7/2023,12/7/2023,11:00 AM,1:30 PM,COBA,138,Chatterjee,2238,-,Scheduled,MAIN,37,37
ACCT,3309,2,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,2:00 PM,4:30 PM,COBA,251,Sargent,2238,-,Scheduled,MAIN,46,46
ACCT,3309,3,LEC/Fall 2023 Final Exam Term 2238,M,12/11/2023,12/11/2023,5:30 PM,8:00 PM,COBA,154,Bates,2238,-,Scheduled,MAIN,39,60
ACCT,3311,1,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,5:30 PM,8:00 PM,COBA,349,Prachyl,2238,-,Scheduled,MAIN,40,40
ACCT,3311,2,LEC/Fall 2023 Final Exam Term 2238,R,12/7/2023,12/7/2023,5:30 PM,8:00 PM,COBA,349,Prachyl,2238,-,Scheduled,MAIN,40,40
ACCT,3311,3,LEC/Fall 2023 Final Exam Term 2238,M,12/11/2023,12/11/2023,5:30 PM,8:00 PM,COBA,339,Venkataraman,2238,2238_1_0456_UTARL_1 - Exam,Scheduled,MAIN,28,30
ACCT,3311,4,LEC/Fall 2023 Final Exam Term 2238,M,12/11/2023,12/13/2023,5:30 PM,8:00 PM,COBA,339,Venkataraman,2238,-,Scheduled,MAIN,27,40
ACCT,3312,1,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,11:00 AM,1:30 PM,COBA,253,Hall,2238,-,Scheduled,MAIN,37,40
ACCT,3312,2,LEC/Fall 2023 Final Exam Term 2238,M,12/11/2023,12/11/2023,5:30 PM,8:00 PM,COBA,336,Prachyl,2238,-,Scheduled,MAIN,28,40
ACCT,3312,3,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,5:30 PM,8:00 PM,COBA,154,Hall,2238,2238_1_0457_UTARL_1 - Exam,Scheduled,MAIN,23,30
ACCT,3315,5,LEC/Fall 2023 Final Exam Term 2238,R,12/7/2023,12/7/2023,11:00 AM,1:30 PM,COBA,251,Seat,2238,-,Scheduled,MAIN,40,40
ACCT,3315,6,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,5:30 PM,8:00 PM,COBA,251,Hall,2238,2238_1_0458_UTARL_1 - Exam,Scheduled,MAIN,32,34
ACCT,3315,7,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,2:00 PM,4:30 PM,COBA,151,Hall,2238,-,Scheduled,MAIN,18,40
ACCT,3316,1,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,2:00 PM,4:30 PM,COBA,349,Henderson,2238,-,Scheduled,MAIN,22,40
ACCT,4302,1,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,11:00 AM,1:30 PM,COBA,251,Nagarajan,2238,-,Scheduled,MAIN,40,40
ACCT,4302,2,LEC/Fall 2023 Final Exam Term 2238,M,12/11/2023,12/11/2023,5:30 PM,8:00 PM,COBA,251,Bui,2238,-,Scheduled,MAIN,25,40
ACCT,4302,3,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,8:15 PM,10:45 PM,COBA,251,Nagarajan,2238,2238_1_0459_UTARL_1 - Exam,Scheduled,MAIN,24,30
ACCT,4304,1,LEC/Fall 2023 Final Exam Term 2238,S,12/9/2023,12/9/2023,1:00 PM,3:30 PM,COBA,251,Ho,2238,2238_1_0460_UTARL_1 - Exam,Scheduled,MAIN,16,30
ACCT,4318,1,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,8:00 AM,10:30 AM,COBA,141,Mcconnell,2238,-,Scheduled,MAIN,23,40
ACCT,4318,2,LEC/Fall 2023 Final Exam Term 2238,M,12/11/2023,12/11/2023,5:30 PM,8:00 PM,COBA,139,Sargent,2238,-,Scheduled,MAIN,32,40
ACCT,4325,1,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,8:15 PM,10:45 PM,COBA,253,Ji,2238,2238_1_0461_UTARL_1 - Exam,Scheduled,MAIN,34,36
ACCT,5133,1,LEC/Fall 2023 Final Exam Term 2238,R,12/7/2023,12/7/2023,8:15 PM,10:45 PM,COBA,149,Mcconnell,2238,2238_1_0454_UTARL_1 - Exam,Scheduled,MAIN,19,30
ACCT,5307,2,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,2:00 PM,4:30 PM,COBA,254,Chakravarthy,2238,-,Scheduled,MAIN,61,60
ACCT,5307,3,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,8:15 PM,10:45 PM,PKH,107,Chakravarthy,2238,-,Scheduled,MAIN,49,50
ACCT,5311,1,LEC/Fall 2023 Final Exam Term 2238,M,12/11/2023,12/13/2023,5:30 PM,8:00 PM,COBA,339,Venkataraman,2238,2238_1_0456_UTARL_1 - Exam,Scheduled,MAIN,12,11
ACCT,5312,1,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,5:30 PM,8:00 PM,COBA,154,Hall,2238,2238_1_0457_UTARL_1 - Exam,Scheduled,MAIN,7,10
ACCT,5314,1,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,5:30 PM,8:00 PM,COBA,251,Hall,2238,2238_1_0458_UTARL_1 - Exam,Scheduled,MAIN,8,7
ACCT,5315,3,LEC/Fall 2023 Final Exam Term 2238,M,12/11/2023,12/11/2023,8:15 PM,10:45 PM,COBA,252,Sargent,2238,2238_1_0603_UTARL_1 - Exam,Scheduled,MAIN,7,10
ACCT,5316,1,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,5:30 PM,8:00 PM,COBA,253,Mcconnell,2238,-,Scheduled,MAIN,8,45
ACCT,5317,2,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,8:15 PM,10:45 PM,COBA,251,Nagarajan,2238,2238_1_0459_UTARL_1 - Exam,Scheduled,MAIN,8,10
ACCT,5318,1,SEM/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,8:15 PM,10:45 PM,COBA,151,Rosser,2238,-,Scheduled,MAIN,30,46
ACCT,5319,1,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,8:15 PM,10:45 PM,COBA,151,Fogel-Yaari,2238,-,Scheduled,MAIN,19,50
ACCT,5320,1,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,8:15 PM,10:45 PM,COBA,253,Ji,2238,2238_1_0461_UTARL_1 - Exam,Scheduled,MAIN,10,10
ACCT,5321,1,SEM/Fall 2023 Final Exam Term 2238,M,12/11/2023,12/11/2023,8:15 PM,10:45 PM,COBA,151,Prachyl,2238,-,Scheduled,MAIN,23,50
ACCT,5322,1,LEC/Fall 2023 Final Exam Term 2238,S,12/9/2023,12/9/2023,1:00 PM,3:30 PM,COBA,251,Ho,2238,2238_1_0460_UTARL_1 - Exam,Scheduled,MAIN,3,10
ACCT,5329,1,LEC/Fall 2023 Final Exam Term 2238,W,12/1/2023,12/13/2023,8:15 PM,10:45 PM,COBA,339,Henderson,2238,-,Scheduled,MAIN,8,50
ACCT,5339,1,SEM/Fall 2023 Final Exam Term 2238,M,12/11/2023,12/11/2023,8:15 PM,10:45 PM,COBA,149,Seat,2238,-,Scheduled,MAIN,5,50
ACCT,5340,1,LEC/Fall 2023 Final Exam Term 2238,R,12/7/2023,12/7/2023,8:15 PM,10:45 PM,COBA,151,Hall,2238,-,Scheduled,MAIN,15,50
ACCT,5342,1,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,8:15 PM,10:45 PM,COBA,149,Klaus,2238,-,Scheduled,MAIN,6,50
ACCT,5345,1,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,8:15 PM,10:45 PM,COBA,150,Le,2238,-,Scheduled,MAIN,5,50
ACCT,5392,1,SEM/Fall 2023 Final Exam Term 2238,M,12/11/2023,12/11/2023,8:15 PM,10:45 PM,COBA,339,Henderson,2238,-,Scheduled,MAIN,14,30
ACCT,6312,18,SEM/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,2:00 PM,4:30 PM,TH,118,Srinidhi,2238,-,Scheduled,MAIN,3,10
ADVT,2337,1,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,11:00 AM,1:30 PM,UH,11,Jordan,2238,-,Scheduled,MAIN,55,139
ADVT,3304,1,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,8:00 AM,10:30 AM,FA,412,Gans,2238,-,Scheduled,MAIN,18,20
ADVT,3304,2,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,11:00 AM,1:30 PM,COBA,336,Gans,2238,-,Scheduled,MAIN,7,20
ADVT,3305,1,LEC/Fall 2023 Final Exam Term 2238,R,12/7/2023,12/7/2023,11:00 AM,1:30 PM,FA,409,Ingram,2238,-,Scheduled,MAIN,14,40
ADVT,3306,1,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,11:00 AM,1:30 PM,FA,404,McEuen,2238,-,Scheduled,MAIN,13,20
ADVT,3308,1,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,11:00 AM,1:30 PM,FA,404,McEuen,2238,-,Scheduled,MAIN,15,16
ADVT,4300,1,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,11:00 AM,1:30 PM,FA,327,Jordan,2238,-,Scheduled,MAIN,15,35
ADVT,4301,2,LEC/Fall 2023 Final Exam Term 2238,M,12/11/2023,12/11/2023,2:00 PM,4:30 PM,FA,409,Gans,2238,-,Scheduled,MAIN,20,20
AE,5101,1,SEM/Fall 2023 Final Exam Term 2238,F,12/8/2023,12/8/2023,2:00 PM,4:30 PM,NH,229,Jain,2238,2238_1_0506_UTARL_1 - Exam,Scheduled,MAIN,9,20
AE,5300,215,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,8:00 AM,10:30 AM,SH,331,Zhang,2238,2238_1_0625_UTARL_1 - Exam,Scheduled,MAIN,1,5
AE,5300,303,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,2:00 PM,4:30 PM,SWSH,105,Han,2238,2238_1_0614_UTARL_1 - Exam,Scheduled,MAIN,1,5
AE,5300,315,LEC/Fall 2023 Final Exam Term 2238,R,12/7/2023,12/7/2023,11:00 AM,1:30 PM,NH,203,Kilmain,2238,2238_1_0623_UTARL_1 - Exam,Scheduled,MAIN,1,5
AE,5302,1,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,11:00 AM,1:30 PM,WH,308,Subbarao,2238,2238_1_0520_UTARL_1 - Exam,Scheduled,MAIN,9,20
AE,5310,1,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,8:00 AM,10:30 AM,WH,308,Iarve,2238,2238_1_0505_UTARL_1 - Exam,Scheduled,MAIN,6,40
AE,5315,1,LEC/Fall 2023 Final Exam Term 2238,R,12/7/2023,12/7/2023,2:00 PM,4:30 PM,SH,129,Makeev,2238,2238_1_0513_UTARL_1 - Exam,Scheduled,MAIN,8,20
AE,5320,1,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,8:00 AM,10:30 AM,SH,330,Taylor,2238,2238_1_0525_UTARL_1 - Exam,Scheduled,MAIN,2,20
AE,5325,1,LEC/Fall 2023 Final Exam Term 2238,R,12/7/2023,12/7/2023,2:00 PM,4:30 PM,SWSH,407,Zhang,2238,2238_1_0530_UTARL_1 - Exam,Scheduled,MAIN,11,20
AE,5329,1,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,8:00 AM,10:30 AM,NH,203,Taylor,2238,2238_1_0522_UTARL_1 - Exam,Scheduled,MAIN,5,5
AE,5331,4,LEC/Fall 2023 Final Exam Term 2238,M,12/11/2023,12/11/2023,5:30 PM,8:00 PM,WH,311,Tong,2238,2238_1_0310_UTARL_1 - Exam,Scheduled,MAIN,7,30
AE,5339,1,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,2:00 PM,4:30 PM,NH,106,Raihan,2238,2238_1_0516_UTARL_1 - Exam,Scheduled,MAIN,3,40
AE,5342,1,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,2:00 PM,4:30 PM,WH,402,Lu,2238,2238_1_0510_UTARL_1 - Exam,Scheduled,MAIN,15,30
AE,5378,1,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,2:00 PM,4:30 PM,SEIR,294,Huff,2238,2238_1_0485_UTARL_1 - Exam,Scheduled,MAIN,8,10
AE,5400,405,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,2:00 PM,4:30 PM,NH,106,Benavides,2238,2238_1_0488_UTARL_1 - Exam,Scheduled,MAIN,1,10
AE,6311,1,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,11:00 AM,1:30 PM,SH,125,Wang,2238,2238_1_0524_UTARL_1 - Exam,Scheduled,MAIN,7,20
ANTH,1200,1,PRA/Fall 2023 Final Exam Term 2238,M,12/11/2023,12/11/2023,8:00 AM,10:30 AM,UH,08,Vanpool,2238,2238_1_0181_UTARL_1 - Exam,Scheduled,MAIN,16,17
ANTH,1306,1,LEC/Fall 2023 Final Exam Term 2238,R,12/7/2023,12/7/2023,2:00 PM,4:30 PM,UH,11,Nuncio,2238,-,Scheduled,MAIN,52,100
ANTH,2307,1,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,8:00 AM,10:30 AM,UH,09,Cleghorn,2238,-,Scheduled,MAIN,41,44
ANTH,2322,1,LEC/Fall 2023 Final Exam Term 2238,R,12/7/2023,12/7/2023,8:00 AM,10:30 AM,PKH,103,Khanduri,2238,-,Scheduled,MAIN,59,60
ANTH,2322,2,LEC/Fall 2023 Final Exam Term 2238,M,12/11/2023,12/11/2023,8:00 AM,10:30 AM,COBA,149,Speier,2238,-,Scheduled,MAIN,59,60
ANTH,2322,3,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,8:00 AM,10:30 AM,PKH,103,Adkins,2238,-,Scheduled,MAIN,57,60
ANTH,2322,4,LEC/Fall 2023 Final Exam Term 2238,F,12/8/2023,12/8/2023,11:00 AM,1:30 PM,COBA,254,Ryan,2238,-,Scheduled,MAIN,63,63
ANTH,2322,6,LEC/Fall 2023 Final Exam Term 2238,T,12/12/2023,12/12/2023,11:00 AM,1:30 PM,PKH,103,Khanduri,2238,-,Scheduled,MAIN,60,60
ANTH,2322,8,LEC/Fall 2023 Final Exam Term 2238,R,12/7/2023,12/7/2023,2:00 PM,4:30 PM,PKH,102,Adkins,2238,-,Scheduled,MAIN,60,60
ANTH,2339,1,LEC/Fall 2023 Final Exam Term 2238,W,12/13/2023,12/13/2023,8:00 AM,10:30 AM,UH,25,Dodge,2238,-,Scheduled,MAIN,24,44
ANTH,2339,2,LEC/Fall 2023 Final Exam Term 2238,R,12/7/2023,12/7/2023,11:00 AM,1:30 PM,UH,09,Dodge,2238,-,Scheduled,MAIN,30,44
