Subject,Course,Section#,MeetingType,DaysMet,StartDate,EndDate,StartTime,EndTime,Building,Room,Instructor,Term,Cross-List,Campus,Enrollment,MaxEnrollment
AAST,2300,1,LEC/Spring 2023 Official Final Exam,R,5/4/2023,5/4/2023,11:00 AM,1:30 PM,UH,25,Guillory,2232,-,MAIN,42,65
AAST,2371,1,LEC/Spring 2023 Official Final Exam,R,5/4/2023,5/4/2023,11:00 AM,1:30 PM,TH,110,Graham,2232,2232_1_0444_UTARL_1 - Exam,MAIN,0,3
AAST,3301,1,LEC/Spring 2023 Official Final Exam,F,5/5/2023,5/5/2023,8:00 AM,10:30 AM,SWSH,224,Hill,2232,2232_1_0448_UTARL_1 - Exam,MAIN,4,5
AAST,3301,2,LEC/Spring 2023 Official Final Exam,R,5/4/2023,5/4/2023,11:00 AM,1:30 PM,SWSH,423,Randolph,2232,2232_1_0449_UTARL_1 - Exam,MAIN,0,3
AAST,3301,3,LEC/Spring 2023 Official Final Exam,F,5/5/2023,5/5/2023,11:00 AM,1:30 PM,COBA,140,Hill,2232,2232_1_0446_UTARL_1 - Exam,MAIN,1,5
AAST,3301,4,LEC/Spring 2023 Official Final Exam,M,5/8/2023,5/8/2023,8:15 PM,10:45 PM,SWSH,429,Schuman,2232,2232_1_0447_UTARL_1 - Exam,MAIN,0,5
AAST,3317,1,LEC/Spring 2023 Official Final Exam,R,5/4/2023,5/4/2023,5:30 PM,8:00 PM,SWSH,407,Shrestha,2232,2232_1_0450_UTARL_1 - Exam,MAIN,0,5
AAST,3317,18,LEC/Spring 2023 Official Final Exam,R,5/4/2023,5/4/2023,11:00 AM,1:30 PM,SWSH,224,Kirby,2232,2232_1_0453_UTARL_1 - Exam,MAIN,0,3
AAST,3321,1,LEC/Spring 2023 Official Final Exam,W,5/10/2023,5/10/2023,8:15 PM,10:45 PM,SWSH,429,Bonilla,2232,2232_1_0038_UTARL_1 - Exam,MAIN,0,1
AAST,3323,1,LEC/Spring 2023 Official Final Exam,T,5/9/2023,5/9/2023,2:00 PM,4:30 PM,UH,01,Price,2232,2232_1_0455_UTARL_1 - Exam,MAIN,6,10
AAST,3338,1,LEC/Spring 2023 Official Final Exam,F,5/5/2023,5/5/2023,8:00 AM,10:30 AM,UH,09,Shelton,2232,2232_1_0308_UTARL_1 - Exam,MAIN,10,10
AAST,3350,1,LEC/Spring 2023 Official Final Exam,T,5/9/2023,5/9/2023,11:00 AM,1:30 PM,UH,01,Guillory,2232,2232_1_0251_UTARL_1 - Exam,MAIN,9,30
AAST,3378,1,LEC/Spring 2023 Official Final Exam,M,5/8/2023,5/8/2023,2:00 PM,4:30 PM,UH,01,Garrigus,2232,2232_1_0457_UTARL_1 - Exam,MAIN,0,5
AAST,3380,1,LEC/Spring 2023 Official Final Exam,F,5/5/2023,5/5/2023,11:00 AM,1:30 PM,UH,11,Owens,2232,2232_1_0027_UTARL_1 - Exam,MAIN,5,5
AAST,3386,1,LEC/Spring 2023 Official Final Exam,W,5/10/2023,5/10/2023,5:30 PM,8:00 PM,UH,01,Degges,2232,2232_1_0555_UTARL_1 - Exam,MAIN,0,5
AAST,4326,1,LEC/Spring 2023 Official Final Exam,M,5/8/2023,5/8/2023,2:00 PM,4:30 PM,COBA,254,Cocchiara,2232,2232_1_0458_UTARL_1 - Exam,MAIN,0,5
AAST,4326,2,LEC/Spring 2023 Official Final Exam,F,5/5/2023,5/5/2023,11:00 AM,1:30 PM,COBA,152,-,2232,2232_1_0459_UTARL_1 - Exam,MAIN,0,5
ACCT,2301,1,LEC/Spring 2023 Official Final Exam,R,5/4/2023,5/4/2023,5:30 PM,8:00 PM,SEIR,298,Gonzales,2232,-,MAIN,61,61
ACCT,2301,2,LEC/Spring 2023 Official Final Exam,R,5/4/2023,5/4/2023,5:30 PM,8:00 PM,SEIR,298,Rahman,2232,-,MAIN,59,60
ACCT,2301,3,LEC/Spring 2023 Official Final Exam,R,5/4/2023,5/4/2023,5:30 PM,8:00 PM,SEIR,298,McGhee,2232,-,MAIN,63,63
ACCT,2301,4,LEC/Spring 2023 Official Final Exam,R,5/4/2023,5/4/2023,5:30 PM,8:00 PM,SEIR,198,McGhee,2232,-,MAIN,60,61
ACCT,2301,5,LEC/Spring 2023 Official Final Exam,R,5/4/2023,5/4/2023,5:30 PM,8:00 PM,SEIR,198,Zhou,2232,-,MAIN,61,61
ACCT,2301,7,LEC/Spring 2023 Official Final Exam,R,5/4/2023,5/4/2023,5:30 PM,8:00 PM,SEIR,194,McGhee,2232,-,MAIN,61,61
ACCT,2301,8,LEC/Spring 2023 Official Final Exam,R,5/4/2023,5/4/2023,5:30 PM,8:00 PM,SEIR,294,Prachyl,2232,-,MAIN,45,72
ACCT,2302,1,LEC/Spring 2023 Official Final Exam,F,5/5/2023,5/5/2023,5:30 PM,8:00 PM,SEIR,198,McGhee,2232,-,MAIN,63,63
ACCT,2302,2,LEC/Spring 2023 Official Final Exam,F,5/5/2023,5/5/2023,5:30 PM,8:00 PM,SEIR,198,Agarwal,2232,-,MAIN,69,70
ACCT,2302,3,LEC/Spring 2023 Official Final Exam,F,5/5/2023,5/5/2023,5:30 PM,8:00 PM,SEIR,298,Agarwal,2232,-,MAIN,63,63
ACCT,2302,4,LEC/Spring 2023 Official Final Exam,F,5/5/2023,5/5/2023,5:30 PM,8:00 PM,SEIR,298,Yang,2232,-,MAIN,63,63
ACCT,2302,5,LEC/Spring 2023 Official Final Exam,F,5/5/2023,5/5/2023,5:30 PM,8:00 PM,SEIR,194,Prachyl,2232,-,MAIN,60,60
ACCT,2302,6,LEC/Spring 2023 Official Final Exam,F,5/5/2023,5/5/2023,5:30 PM,8:00 PM,SEIR,194,Rasmussen,2232,-,MAIN,37,37
ACCT,3133,1,LEC/Spring 2023 Official Final Exam,T,5/9/2023,5/9/2023,8:15 PM,10:45 PM,COBA,149,Mcconnell,2232,2232_1_0075_UTARL_1 - Exam,MAIN,15,15
ACCT,3303,1,LEC/Spring 2023 Official Final Exam,R,5/4/2023,5/4/2023,8:00 AM,10:30 AM,COBA,152,Chatterjee,2232,-,MAIN,49,50
ACCT,3303,2,LEC/Spring 2023 Official Final Exam,T,5/9/2023,5/9/2023,11:00 AM,1:30 PM,COBA,152,Chatterjee,2232,-,MAIN,43,50
