Subject,Course,Section,MeetingType,DaysMet,StartDate,EndDate,StartTime,EndTime,Building,Room,Instructor,Term,Cross-List,Status,Campus,Enrollment,"Max
Enrollment","Course
OfferingId"
AAST,2300,1,LEC/Spring 2024 Official Final Exam,R,5/2/2024,5/2/2024,11:00 AM,1:30 PM,SWSH,104,Guillory,2242,2242_1_0510_UTARL_1 - Exam,Scheduled,MAIN,26,65,22484.0
AAST,2371,1,LEC/Spring 2024 Official Final Exam,R,5/2/2024,5/2/2024,11:00 AM,1:30 PM,UH,13,-,2242,2242_1_0532_UTARL_1 - Exam,Scheduled,MAIN,0,3,26885.0
AAST,3301,1,LEC/Spring 2024 Official Final Exam,F,5/3/2024,5/3/2024,8:00 AM,10:30 AM,SWSH,406,Randolph,2242,2242_1_0325_UTARL_1 - Exam,Scheduled,MAIN,4,5,23621.0
AAST,3301,2,LEC/Spring 2024 Official Final Exam,R,5/2/2024,5/2/2024,11:00 AM,1:30 PM,SWSH,430,Cassidy,2242,2242_1_0326_UTARL_1 - Exam,Scheduled,MAIN,0,3,29343.0
AAST,3301,3,LEC/Spring 2024 Official Final Exam,F,5/3/2024,5/3/2024,11:00 AM,1:30 PM,SWSH,430,Hill,2242,2242_1_0328_UTARL_1 - Exam,Scheduled,MAIN,1,5,29344.0
AAST,3301,4,LEC/Spring 2024 Official Final Exam,M,5/6/2024,5/6/2024,8:15 PM,10:45 PM,SWSH,407,Hill,2242,2242_1_0329_UTARL_1 - Exam,Scheduled,MAIN,6,5,29345.0
AAST,3310,1,LEC/Spring 2024 Official Final Exam,R,5/2/2024,5/2/2024,8:00 AM,10:30 AM,UH,11,Guillory,2242,2242_1_0374_UTARL_1 - Exam,Scheduled,MAIN,14,60,31725.0
AAST,3317,1,LEC/Spring 2024 Official Final Exam,R,5/2/2024,5/2/2024,5:30 PM,8:00 PM,SWSH,429,Hill,2242,2242_1_0330_UTARL_1 - Exam,Scheduled,MAIN,3,5,29346.0
AAST,3317,2,LEC/Spring 2024 Official Final Exam,W,5/8/2024,5/8/2024,2:00 PM,4:30 PM,SWSH,224,-,2242,2242_1_0331_UTARL_1 - Exam,Scheduled,MAIN,0,0,30260.0
AAST,3317,18,LEC/Spring 2024 Official Final Exam,R,5/2/2024,5/2/2024,11:00 AM,1:30 PM,SWSH,429,-,2242,2242_1_0332_UTARL_1 - Exam,Scheduled,MAIN,0,3,26884.0
AAST,3317,19,LEC/Spring 2024 Official Final Exam,W,5/8/2024,5/8/2024,8:15 PM,10:45 PM,SWSH,224,-,2242,2242_1_0333_UTARL_1 - Exam,Scheduled,MAIN,0,0,30261.0
AAST,3321,1,LEC/Spring 2024 Official Final Exam,W,5/8/2024,5/8/2024,8:15 PM,10:45 PM,SWSH,430,Jakubowske,2242,2242_1_0335_UTARL_1 - Exam,Scheduled,MAIN,0,1,29347.0
AAST,3323,1,LEC/Spring 2024 Official Final Exam,T,5/7/2024,5/7/2024,2:00 PM,4:30 PM,UH,01,Price,2242,2242_1_0500_UTARL_1 - Exam,Scheduled,MAIN,8,10,22867.0
AAST,3337,1,LEC/Spring 2024 Official Final Exam,R,5/2/2024,5/2/2024,11:00 AM,1:30 PM,UH,11,Shelton,2242,2242_1_0120_UTARL_1 - Exam,Scheduled,MAIN,6,10,31726.0
AAST,3378,1,LEC/Spring 2024 Official Final Exam,R,5/2/2024,5/2/2024,5:30 PM,8:00 PM,UH,01,Garrigus,2242,2242_1_0501_UTARL_1 - Exam,Scheduled,MAIN,0,5,29348.0
AAST,3380,1,LEC/Spring 2024 Official Final Exam,F,5/3/2024,5/3/2024,11:00 AM,1:30 PM,UH,10,Owens,2242,2242_1_0338_UTARL_1 - Exam,Scheduled,MAIN,1,5,26887.0
AAST,4326,2,LEC/Spring 2024 Official Final Exam,F,5/3/2024,5/3/2024,11:00 AM,1:30 PM,COBA,150,-,2242,2242_1_0047_UTARL_1 - Exam,Scheduled,MAIN,0,5,25824.0
AAST,4350,1,LEC/Spring 2024 Official Final Exam,R,5/2/2024,5/2/2024,8:00 AM,10:30 AM,TH,21,-,2242,2242_1_0183_UTARL_1 - Exam,Scheduled,MAIN,0,5,30258.0
AAST,4378,1,LEC/Spring 2024 Official Final Exam,R,5/2/2024,5/2/2024,5:30 PM,8:00 PM,UH,02,Degges,2242,2242_1_0525_UTARL_1 - Exam,Scheduled,MAIN,1,5,32912.0
ACCT,3133,1,LEC/Spring 2024 Official Final Exam,T,5/7/2024,5/7/2024,8:15 PM,10:45 PM,COBA,147,Mcconnell,2242,2242_1_0341_UTARL_1 - Exam,Scheduled,MAIN,25,40,24091.0
ACCT,3303,1,LEC/Spring 2024 Official Final Exam,R,5/2/2024,5/2/2024,8:00 AM,10:30 AM,COBA,154,Henderson,2242,-,Scheduled,MAIN,44,45,21411.0
ACCT,3303,2,LEC/Spring 2024 Official Final Exam,T,5/7/2024,5/7/2024,11:00 AM,1:30 PM,PKH,111,Bui,2242,-,Scheduled,MAIN,47,47,21412.0
ACCT,3303,3,LEC/Spring 2024 Official Final Exam,M,5/6/2024,5/6/2024,2:00 PM,4:30 PM,COBA,251,Chatterjee,2242,-,Scheduled,MAIN,40,40,25762.0
ACCT,3303,4,LEC/Spring 2024 Official Final Exam,W,5/8/2024,5/8/2024,5:30 PM,8:00 PM,COBA,252,Chatterjee,2242,2242_1_0342_UTARL_1 - Exam,Scheduled,MAIN,43,43,21413.0
ACCT,3309,1,LEC/Spring 2024 Official Final Exam,W,5/8/2024,5/8/2024,5:30 PM,8:00 PM,COBA,149,Bates,2242,-,Scheduled,MAIN,54,55,25800.0
ACCT,3309,2,LEC/Spring 2024 Official Final Exam,F,5/3/2024,5/3/2024,2:00 PM,4:30 PM,COBA,150,Sargent,2242,-,Scheduled,MAIN,57,57,21414.0
ACCT,3309,4,LEC/Spring 2024 Official Final Exam,W,5/8/2024,5/8/2024,11:00 AM,1:30 PM,COBA,151,Sargent,2242,-,Scheduled,MAIN,56,57,22491.0
ACCT,3311,2,LEC/Spring 2024 Official Final Exam,R,5/2/2024,5/2/2024,2:00 PM,4:30 PM,COBA,349,Fogel-Yaari,2242,-,Scheduled,MAIN,39,40,32255.0
ACCT,3311,3,LEC/Spring 2024 Official Final Exam,R,5/2/2024,5/2/2024,11:00 AM,1:30 PM,COBA,349,Fogel-Yaari,2242,-,Scheduled,MAIN,40,40,21415.0
ACCT,3311,4,LEC/Spring 2024 Official Final Exam,R,5/2/2024,5/2/2024,5:30 PM,8:00 PM,COBA,254,Prachyl,2242,2242_1_0343_UTARL_1 - Exam,Scheduled,MAIN,37,36,22490.0
ACCT,3312,2,LEC/Spring 2024 Official Final Exam,F,5/3/2024,5/3/2024,2:00 PM,4:30 PM,COBA,153,Hall,2242,2242_1_0103_UTARL_1 - Exam,Scheduled,MAIN,50,55,24900.0
ACCT,3312,3,LEC/Spring 2024 Official Final Exam,M,5/6/2024,5/6/2024,8:15 PM,10:45 PM,COBA,152,Hall,2242,2242_1_0111_UTARL_1 - Exam,Scheduled,MAIN,42,45,24088.0
ACCT,3315,1,LEC/Spring 2024 Official Final Exam,F,5/3/2024,5/3/2024,2:00 PM,4:30 PM,COBA,251,Klaus,2242,-,Scheduled,MAIN,29,40,31727.0
ACCT,3315,2,LEC/Spring 2024 Official Final Exam,M,5/6/2024,5/6/2024,8:15 PM,10:45 PM,COBA,150,Klaus,2242,2242_1_0345_UTARL_1 - Exam,Scheduled,MAIN,28,40,21416.0
